SUMLEV|REGION|DIVISION|STATE|NAME|ESTIMATESBASE2020|POPESTIMATE2020|POPESTIMATE2021|POPESTIMATE2022|POPESTIMATE2023|POPESTIMATE2024|POPESTIMATE2025
010|0|0|00|United States|331516113|331578104|332100166|333996304|336755052|340003797|341784857
020|1|0|00|Northeast Region|57617560|57436027|57234503|57174375|57458539|57940522|58042054
030|1|1|00|New England|15122087|15047713|15116021|15178293|15267275|15386901|15431980
030|1|2|00|Middle Atlantic|42495473|42388314|42118482|41996082|42191264|42553621|42610074
020|2|0|00|Midwest Region|68999462|68979566|68867096|68872112|69132050|69518281|69762666
030|2|3|00|East North Central|47381476|47353837|47203510|47163396|47315626|47555538|47693655
030|2|4|00|West North Central|21617986|21625729|21663586|21708716|21816424|21962743|22069011
020|3|0|00|South Region|126281605|126473371|127380165|129066102|130894372|132662072|133833983
030|3|5|00|South Atlantic|66098022|66176335|66686315|67671784|68680474|69586214|70198706
030|3|6|00|East South Central|19405307|19427354|19472696|19602668|19763302|19948564|20069188
030|3|7|00|West South Central|40778276|40869682|41221154|41791650|42450596|43127294|43566089
020|4|0|00|West Region|78617486|78689140|78618402|78883715|79270091|79882922|80146154
030|4|8|00|Mountain|24928332|25006940|25284969|25554105|25829773|26153377|26346149
030|4|9|00|Pacific|53689154|53682200|53333433|53329610|53440318|53729545|53800005
040|3|6|01|Alabama|5025437|5032962|5050058|5076868|5117850|5163055|5193088
040|4|9|02|Alaska|733383|732906|734590|733659|734654|736537|737270
040|4|8|04|Arizona|7158104|7186647|7274022|7370065|7452073|7556424|7623818
040|3|7|05|Arkansas|3011530|3014399|3027127|3047429|3069856|3096080|3114791
040|4|9|06|California|39555703|39527808|39152927|39125347|39181667|39364774|39355309
040|4|8|08|Colorado|5775326|5786873|5814368|5853355|5912240|5988502|6012561
040|1|1|09|Connecticut|3607750|3579643|3607765|3618707|3641369|3674449|3688496
040|3|5|10|Delaware|989950|991890|1005130|1020279|1035354|1050123|1059952
040|3|5|11|District of Columbia|689544|670958|669637|674501|682559|691310|693645
040|3|5|12|Florida|21538207|21591325|21836698|22413989|22929248|23265838|23462518
040|3|5|13|Georgia|10713861|10732595|10793038|10929992|11063669|11204208|11302748
040|4|9|15|Hawaii|1455267|1451130|1446909|1437812|1434950|1434952|1432820
040|4|8|16|Idaho|1839123|1849328|1904855|1942951|1970497|2000872|2029733
040|2|3|17|Illinois|12821741|12795348|12703354|12609577|12633389|12703033|12719141
040|2|3|18|Indiana|6786605|6790290|6814223|6841491|6881373|6934754|6973333
040|2|4|19|Iowa|3190582|3191081|3199037|3201890|3214739|3230454|3238387
040|2|4|20|Kansas|2937986|2938274|2938966|2938034|2949749|2965252|2977220
040|3|6|21|Kentucky|4506287|4508271|4508348|4521238|4549953|4584046|4606864
040|3|7|22|Louisiana|4657894|4652145|4628595|4600892|4598777|4614878|4618189
040|1|1|23|Maine|1363218|1364546|1379009|1391585|1401992|1408438|1414874
040|3|5|24|Maryland|6181640|6178387|6176035|6183257|6204927|6245314|6265347
040|1|1|25|Massachusetts|7033112|6985320|6996721|7025465|7073479|7138560|7154084
040|2|3|26|Michigan|10079362|10072294|10042362|10043906|10062124|10099962|10127884
040|2|4|27|Minnesota|5706733|5710562|5714055|5727565|5752998|5797405|5830405
040|3|6|28|Mississippi|2961264|2958385|2947603|2941237|2942470|2950172|2954160
040|2|4|29|Missouri|6154913|6155074|6172551|6179285|6205956|6243544|6270541
040|4|8|30|Montana|1084221|1087156|1106416|1121533|1130612|1137557|1144694
040|2|4|31|Nebraska|1961980|1963318|1964697|1972595|1988172|2005591|2018006
040|4|8|32|Nevada|3105593|3116851|3148472|3177672|3211077|3253543|3282188
040|1|1|33|New Hampshire|1377573|1378752|1387907|1396647|1401530|1408518|1415342
040|1|2|34|New Jersey|9289024|9270476|9266509|9298402|9395315|9506354|9548215
040|4|8|35|New Mexico|2117492|2118446|2117300|2112859|2119349|2126774|2125498
040|1|2|36|New York|20203696|20122262|19835345|19713025|19786543|20001419|20002427
040|3|5|37|North Carolina|10441392|10450215|10565503|10705768|10871849|11052061|11197968
040|2|4|38|North Dakota|779136|779612|777977|780191|787071|793387|799358
040|2|3|39|Ohio|11799445|11798534|11761443|11764950|11808390|11860621|11900510
040|3|7|40|Oklahoma|3959354|3965243|3992760|4025327|4062716|4097758|4123288
040|4|9|41|Oregon|4237282|4243544|4254691|4245964|4250392|4265324|4273586
040|1|2|42|Pennsylvania|13002753|12995576|13016628|12984655|13009406|13045848|13059432
040|1|1|44|Rhode Island|1097357|1096487|1097381|1098275|1101183|1110415|1114521
040|3|5|45|South Carolina|5118250|5131992|5194346|5288957|5390798|5490316|5570274
040|2|4|46|South Dakota|886656|887808|896303|909156|917739|927110|935094
040|3|6|47|Tennessee|6912319|6927736|6966687|7063325|7153029|7251291|7315076
040|3|7|48|Texas|29149498|29237895|29572672|30118002|30719247|31318578|31709821
040|4|8|49|Utah|3271601|3283970|3339874|3393928|3449259|3502983|3538904
040|1|1|50|Vermont|643077|642965|647238|647614|647722|646521|644663
040|3|5|51|Virginia|8631419|8637303|8660007|8681038|8732034|8819642|8880107
040|4|9|53|Washington|7707519|7726812|7744316|7786828|7838655|7927958|8001020
040|3|5|54|West Virginia|1793759|1791670|1785921|1774003|1770036|1767402|1766147
040|2|3|55|Wisconsin|5894323|5897371|5882128|5903472|5930350|5957168|5972787
040|4|8|56|Wyoming|576872|577669|579662|581742|584666|586722|588753
040|5|12|72|Puerto Rico|3285874|3281591|3262731|3220148|3203794|3202521|3184835
